# data obtained from G. Haran's group
1.7M	1.7M	2.16M	2.16M	2.56M	2.56M	3.05M	3.05M	4.57M	4.57M		0M		5.99M
-0.0197	790	-0.0197	468	-0.0494	8	-0.0197	1657	-0.02069	2025	-8.90000000000004E-4	190	-0.0119958473521055	404
8.99999999999998E-4	1368	8.99999999999998E-4	799	-0.0282	489	8.99999999999998E-4	2585	-7.00000000000076E-5	2683	0.01933	349	0.00700083818450427	604
0.0215	1220	0.0215	709	-0.007	1526	0.0215	1656	0.02055	1641	0.03955	275	0.0259975237211141	532
0.0421	891	0.0421	471	0.0142	1247	0.0421	982	0.04117	858	0.05977	188	0.0449942092577239	304
0.0627	755	0.0627	345	0.0354	1042	0.0627	682	0.06179	555	0.07999	137	0.0639908947943337	210
0.0833	402	0.0833	196	0.0566	750	0.0833	432	0.08241	386	0.10021	86	0.0829875803309435	127
0.1039	362	0.1039	177	0.0778	448	0.1039	422	0.10303	408	0.12043	65	0.101984265867553	190
0.1245	286	0.1245	123	0.099	404	0.1245	406	0.12365	484	0.14065	49	0.120980951404163	278
0.1451	231	0.1451	87	0.1202	272	0.1451	486	0.14427	605	0.16087	24	0.139977636940773	383
0.1657	200	0.1657	106	0.1414	267	0.1657	661	0.16489	872	0.18109	36	0.158974322477383	545
0.1863	142	0.1863	84	0.1626	240	0.1863	733	0.18551	1143	0.20131	28	0.177971008013993	900
0.2069	125	0.2069	115	0.1838	237	0.2069	1014	0.20613	1490	0.22153	22	0.196967693550602	1263
0.2275	117	0.2275	118	0.205	319	0.2275	1332	0.22675	1824	0.24175	12	0.215964379087212	1597
0.2481	112	0.2481	142	0.2262	413	0.2481	1676	0.24737	2284	0.26197	18	0.234961064623822	1999
0.2687	133	0.2687	176	0.2474	446	0.2687	2291	0.26799	2788	0.28219	11	0.253957750160432	2201
0.2893	105	0.2893	168	0.2686	684	0.2893	2781	0.28861	2942	0.30241	13	0.272954435697042	2376
0.3099	105	0.3099	222	0.2898	818	0.3099	3317	0.30923	2957	0.32263	18	0.291951121233651	2276
0.3305	124	0.3305	259	0.311	1044	0.3305	3942	0.32985	3052	0.34285	14	0.310947806770261	1940
0.3511	149	0.3511	233	0.3322	1276	0.3511	3942	0.35047	2510	0.36307	19	0.329944492306871	1599
0.3717	197	0.3717	291	0.3534	1495	0.3717	4165	0.37109	2122	0.38329	14	0.348941177843481	1161
0.3923	192	0.3923	269	0.3746	1582	0.3923	3219	0.39171	1864	0.40351	22	0.367937863380091	871
0.4129	223	0.4129	282	0.3958	1641	0.4129	2978	0.41233	1392	0.42373	17	0.386934548916701	653
0.4335	217	0.4335	304	0.417	1531	0.4335	2447	0.43295	1080	0.44395	32	0.40593123445331	373
0.4541	212	0.4541	321	0.4382	1425	0.4541	1847	0.45357	664	0.46417	17	0.42492791998992	331
0.4747	237	0.4747	322	0.4594	1159	0.4747	1702	0.47419	463	0.48439	11	0.44392460552653	179
0.4953	213	0.4953	256	0.4806	989	0.4953	1110	0.49481	539	0.50461	22	0.46292129106314	127
0.5159	197	0.5159	273	0.5018	877	0.5159	907	0.51543	268	0.52483	20	0.48191797659975	80
0.5365	183	0.5365	283	0.523	674	0.5365	707	0.53605	241	0.54505	24	0.500914662136359	52
0.5571	167	0.5571	273	0.5442	522	0.5571	517	0.55667	155	0.56527	17	0.519911347672969	33
0.5777	178	0.5777	254	0.5654	427	0.5777	451	0.57729	125	0.58549	20	0.538908033209579	15
0.5983	143	0.5983	203	0.5866	336	0.5983	263	0.59791	82	0.60571	33	0.557904718746189	14
0.6189	160	0.6189	185	0.6078	267	0.6189	212	0.61853	40	0.62593	29	0.576901404282799	6
0.6395	152	0.6395	162	0.629	203	0.6395	187	0.63915	43	0.64615	27	0.595898089819409	4
0.6601	121	0.6601	150	0.6502	153	0.6601	144	0.65977	28	0.66637	46	0.614894775356018	4
0.6807	141	0.6807	181	0.6714	148	0.6807	120	0.68039	15	0.68659	36	0.633891460892628	4
0.7013	153	0.7013	172	0.6926	153	0.7013	126	0.70101	24	0.70681	48	0.652888146429238	1
0.7219	160	0.7219	153	0.7138	156	0.7219	107	0.72163	16	0.72703	54	0.671884831965848	0
0.7425	233	0.7425	227	0.735	179	0.7425	150	0.74225	11	0.74725	107	0.690881517502458	1
0.7631	260	0.7631	301	0.7562	242	0.7631	212	0.76287	9	0.76747	145	0.709878203039067	0
0.7837	593	0.7837	488	0.7774	428	0.7837	343	0.78349	12	0.78769	238	0.728874888575677	1
