                        C        CH       CH2       CH3         N        NH       NH2       NH3         O        OH         S        SH         P 
 0.000000E+00    0.508240 -0.211960 -0.932160  0.000000  6.162940  5.442740  4.722540  0.000000  4.949980  4.229780  0.000000  0.000000 13.085480
 3.978200E-02    0.511666 -0.206398 -0.924054  0.000000  6.162230  5.442684  4.723741  0.000000  4.950830  4.232108  0.000000  0.000000 13.083964
 4.956400E-02    0.513556 -0.203330 -0.919582  0.000000  6.161837  5.442652  4.724404  0.000000  4.951299  4.233392  0.000000  0.000000 13.083127
 5.934600E-02    0.515859 -0.199592 -0.914135  0.000000  6.161359  5.442614  4.725211  0.000000  4.951870  4.234957  0.000000  0.000000 13.082107
 6.912800E-02    0.518574 -0.195186 -0.907716  0.000000  6.160795  5.442569  4.726163  0.000000  4.952544  4.236802  0.000000  0.000000 13.080904
 7.891000E-02    0.521700 -0.190115 -0.900328  0.000000  6.160146  5.442517  4.727258  0.000000  4.953320  4.238925  0.000000  0.000000 13.079519
 8.869200E-02    0.525235 -0.184379 -0.891974  0.000000  6.159410  5.442457  4.728497  0.000000  4.954197  4.241327  0.000000  0.000000 13.077951
 9.847000E-02    0.529177 -0.177985 -0.882662  0.000000  6.158590  5.442391  4.729877  0.000000  4.955176  4.244006  0.000000  0.000000 13.076202
 1.082600E-01    0.533532 -0.170923 -0.872381  0.000000  6.157683  5.442317  4.731401  0.000000  4.956256  4.246964  0.000000  0.000000 13.074269
 1.180400E-01    0.538287 -0.163213 -0.861157  0.000000  6.156691  5.442235  4.733066  0.000000  4.957437  4.250195  0.000000  0.000000 13.072156
 1.278200E-01    0.543447 -0.154850 -0.848987  0.000000  6.155613  5.442146  4.734870  0.000000  4.958718  4.253699  0.000000  0.000000 13.069863
 1.376000E-01    0.549009 -0.145839 -0.835875  0.000000  6.154451  5.442049  4.736815  0.000000  4.960099  4.257477  0.000000  0.000000 13.067388
 1.473800E-01    0.554970 -0.136182 -0.821829  0.000000  6.153203  5.441944  4.738898  0.000000  4.961579  4.261526  0.000000  0.000000 13.064733
 1.571800E-01    0.561343 -0.125862 -0.806823  0.000000  6.151868  5.441831  4.741124  0.000000  4.963161  4.265854  0.000000  0.000000 13.061893
 1.669400E-01    0.568086 -0.114948 -0.790958  0.000000  6.150452  5.441710  4.743478  0.000000  4.964836  4.270433  0.000000  0.000000 13.058885
 1.767200E-01    0.575235 -0.103380 -0.774149  0.000000  6.148950  5.441581  4.745972  0.000000  4.966611  4.275287  0.000000  0.000000 13.055692
 1.865000E-01    0.582775 -0.091184 -0.756433  0.000000  6.147362  5.441442  4.748600  0.000000  4.968484  4.280407  0.000000  0.000000 13.052321
 1.962800E-01    0.590703 -0.078365 -0.737819  0.000000  6.145690  5.441295  4.751363  0.000000  4.970454  4.285789  0.000000  0.000000 13.048771
 2.060600E-01    0.599017 -0.064929 -0.718317  0.000000  6.143933  5.441139  4.754257  0.000000  4.972520  4.291433  0.000000  0.000000 13.045045
 2.158400E-01    0.607714 -0.050880 -0.697935  0.000000  6.142092  5.440974  4.757283  0.000000  4.974681  4.297336  0.000000  0.000000 13.041142
 2.256200E-01    0.616791 -0.036226 -0.676683  0.000000  6.140167  5.440799  4.760438  0.000000  4.976937  4.303497  0.000000  0.000000 13.037063
 2.354000E-01    0.626244 -0.020970 -0.654570  0.000000  6.138158  5.440614  4.763722  0.000000  4.979287  4.309912  0.000000  0.000000 13.032809
 2.451800E-01    0.636071 -0.005121 -0.631607  0.000000  6.136065  5.440419  4.767132  0.000000  4.981730  4.316580  0.000000  0.000000 13.028380
