    q, A-1         I(q)    sigmaI(q)
2.0870E-02   1.6160E-01   3.2558E-04
2.5762E-02   1.5953E-01   3.1980E-04
3.7498E-02   1.4941E-01   2.9415E-04
4.9238E-02   1.3521E-01   2.8193E-04
6.0977E-02   1.2052E-01   2.7400E-04
7.2715E-02   1.0524E-01   2.6562E-04
8.4453E-02   8.9741E-02   2.5945E-04
9.6195E-02   7.3495E-02   2.5224E-04
1.0793E-01   5.8839E-02   2.4582E-04
1.1967E-01   4.6343E-02   2.4108E-04
1.3140E-01   3.4228E-02   2.3735E-04
1.4315E-01   2.4901E-02   2.3456E-04
1.5488E-01   1.6396E-02   2.3137E-04
1.6662E-01   1.1041E-02   2.2854E-04
1.7835E-01   6.7491E-03   2.2275E-04
1.9010E-01   3.8422E-03   2.0984E-04
2.0182E-01   2.2603E-03   1.8702E-04
2.1355E-01   1.3993E-03   1.6364E-04
2.2530E-01   1.3708E-03   1.4000E-04
2.3703E-01   1.4058E-03   1.3266E-04
2.4875E-01   1.3271E-03   1.3480E-04
2.6050E-01   1.3621E-03   1.3935E-04
2.7222E-01   1.8234E-03   1.4476E-04
2.8395E-01   1.5928E-03   1.4871E-04
2.9570E-01   2.0680E-03   1.5183E-04
3.0742E-01   1.4047E-03   1.5259E-04
3.1915E-01   1.1425E-03   1.5154E-04
3.3088E-01   1.2208E-03   1.4879E-04
3.4260E-01   2.7314E-04   1.4501E-04
3.5435E-01   1.0732E-03   1.4112E-04
3.6607E-01   9.2329E-04   1.3834E-04
3.7780E-01   7.1078E-04   1.3651E-04
3.8952E-01   5.9106E-04   1.3604E-04
4.0125E-01   7.5392E-04   1.3639E-04
4.1297E-01   1.0105E-03   1.3660E-04
4.2470E-01   1.4229E-03   1.3794E-04
4.3640E-01   1.4655E-03   1.3906E-04
4.4815E-01   1.2536E-03   1.3944E-04
4.5985E-01   1.1358E-03   1.4046E-04
4.7158E-01   1.6066E-03   1.4117E-04
4.8330E-01   1.5461E-03   1.4234E-04
4.9500E-01   1.4172E-03   1.4358E-04
5.0673E-01   1.1964E-03   1.4470E-04
5.1845E-01   1.6638E-03   1.4590E-04
5.3015E-01   1.4397E-03   1.4710E-04
5.4187E-01   1.2658E-03   1.4872E-04
5.5360E-01   1.7290E-03   1.4997E-04
5.6530E-01   1.8343E-03   1.5115E-04
5.7700E-01   1.4014E-03   1.5176E-04
5.8870E-01   1.3846E-03   1.5310E-04
