            q           C         O         N         H         S
 0.000000E+00    0.508240  4.949980  6.162940 -0.720200  9.366560
 0.273325E-01    0.509858  4.950381  6.162605 -0.719973  9.368433
 0.299107E-01    0.510177  4.950461  6.162538 -0.719928  9.368803
 0.381612E-01    0.511392  4.950762  6.162286 -0.719757  9.370211
 0.464115E-01    0.512902  4.951137  6.161973 -0.719545  9.371958
 0.546620E-01    0.514705  4.951584  6.161599 -0.719291  9.374046
 0.629124E-01    0.516801  4.952104  6.161164 -0.718996  9.376473
 0.711628E-01    0.519190  4.952697  6.160667 -0.718660  9.379238
 0.794133E-01    0.521871  4.953362  6.160110 -0.718283  9.382340
 0.876636E-01    0.524844  4.954100  6.159492 -0.717864  9.385779
 0.959140E-01    0.528107  4.954910  6.158813 -0.717404  9.389553
 0.104164E+00    0.531660  4.955792  6.158073 -0.716904  9.393661
 0.112415E+00    0.535503  4.956746  6.157272 -0.716362  9.398102
 0.120665E+00    0.539633  4.957771  6.156410 -0.715779  9.402875
 0.128916E+00    0.544050  4.958868  6.155487 -0.715155  9.407978
 0.137166E+00    0.548753  4.960035  6.154504 -0.714490  9.413408
 0.145417E+00    0.553742  4.961274  6.153460 -0.713784  9.419166
 0.153667E+00    0.559013  4.962583  6.152356 -0.713038  9.425248
 0.161917E+00    0.564567  4.963962  6.151191 -0.712251  9.431653
 0.170167E+00    0.570401  4.965411  6.149966 -0.711424  9.438379
 0.178418E+00    0.576516  4.966930  6.148680 -0.710555  9.445424
 0.186669E+00    0.582908  4.968518  6.147334 -0.709647  9.452786
 0.194919E+00    0.589577  4.970174  6.145928 -0.708698  9.460460
 0.203170E+00    0.596520  4.971900  6.144461 -0.707709  9.468448
 0.211419E+00    0.603735  4.973693  6.142935 -0.706681  9.476743
 0.219670E+00    0.611224  4.975554  6.141349 -0.705612  9.485346
 0.227920E+00    0.618980  4.977482  6.139702 -0.704503  9.494253
 0.236171E+00    0.627005  4.979477  6.137996 -0.703354  9.503461
 0.244422E+00    0.635296  4.981538  6.136230 -0.702166  9.512968
 0.252672E+00    0.643849  4.983665  6.134404 -0.700939  9.522769
 0.260923E+00    0.652665  4.985857  6.132519 -0.699672  9.532863
 0.269172E+00    0.661738  4.988114  6.130575 -0.698366  9.543244
 0.277423E+00    0.671070  4.990435  6.128571 -0.697020  9.553913
 0.285674E+00    0.680657  4.992821  6.126508 -0.695636  9.564865
 0.293924E+00    0.690496  4.995269  6.124387 -0.694213  9.576094
 0.302174E+00    0.700585  4.997780  6.122206 -0.692752  9.587599
 0.310424E+00    0.710921  5.000352  6.119966 -0.691252  9.599376
 0.318675E+00    0.721504  5.002987  6.117668 -0.689713  9.611422
 0.326925E+00    0.732328  5.005682  6.115311 -0.688137  9.623732
 0.335176E+00    0.743393  5.008438  6.112895 -0.686522  9.636304
 0.343426E+00    0.754695  5.011253  6.110422 -0.684870  9.649131
 0.351677E+00    0.766232  5.014127  6.107890 -0.683180  9.662213
 0.359927E+00    0.778001  5.017060  6.105300 -0.681452  9.675543
 0.368177E+00    0.789998  5.020049  6.102652 -0.679688  9.689117
 0.376428E+00    0.802223  5.023097  6.099946 -0.677886  9.702933
 0.384678E+00    0.814670  5.026200  6.097183 -0.676047  9.716984
 0.392929E+00    0.827338  5.029358  6.094363 -0.674172  9.731269
 0.401179E+00    0.840223  5.032572  6.091485 -0.672260  9.745780
 0.409430E+00    0.853323  5.035839  6.088550 -0.670311  9.760517
 0.417680E+00    0.866633  5.039160  6.085558 -0.668327  9.775470
 0.425930E+00    0.880152  5.042533  6.082510 -0.666307  9.790638
 0.434181E+00    0.893876  5.045958  6.079404 -0.664251  9.806017
 0.442431E+00    0.907801  5.049434  6.076243 -0.662160  9.821600
 0.450681E+00    0.921924  5.052959  6.073025 -0.660033  9.837382
 0.458932E+00    0.936244  5.056535  6.069751 -0.657871  9.853363
 0.467183E+00    0.950756  5.060159  6.066421 -0.655675  9.869534
 0.475432E+00    0.965453  5.063830  6.063036 -0.653444  9.885888
 0.483683E+00    0.980338  5.067549  6.059594 -0.651179  9.902426
 0.491934E+00    0.995405  5.071314  6.056097 -0.648879  9.919141
 0.500184E+00    1.010648  5.075123  6.052546 -0.646546  9.936025
 0.508434E+00    1.026066  5.078977  6.048939 -0.644179  9.953076
 0.516684E+00    1.041655  5.082874  6.045278 -0.641779  9.970287
 0.524935E+00    1.057413  5.086814  6.041562 -0.639345  9.987657
 0.533185E+00    1.073333  5.090795  6.037792 -0.636879 10.005175
 0.541435E+00    1.089413  5.094817  6.033967 -0.634381 10.022839
 0.549686E+00    1.105652  5.098879  6.030089 -0.631849 10.040647
 0.557937E+00    1.122044  5.102980  6.026156 -0.629286 10.058589
 0.566188E+00    1.138585  5.107119  6.022170 -0.626690 10.076662
 0.574437E+00    1.155267  5.111294  6.018132 -0.624064 10.094855
 0.582688E+00    1.172096  5.115505  6.014039 -0.621406 10.113173
 0.590938E+00    1.189060  5.119752  6.009894 -0.618717 10.131603
 0.599189E+00    1.206161  5.124033  6.005696 -0.615997 10.150144
 0.607439E+00    1.223390  5.128346  6.001446 -0.613247 10.168787
 0.615690E+00    1.240747  5.132693  5.997144 -0.610467 10.187530
 0.623940E+00    1.258226  5.137070  5.992790 -0.607657 10.206365
 0.632190E+00    1.275823  5.141477  5.988384 -0.604817 10.225287
 0.640441E+00    1.293538  5.145914  5.983926 -0.601947 10.244294
 0.648691E+00    1.311361  5.150378  5.979418 -0.599049 10.263375
 0.656942E+00    1.329294  5.154870  5.974858 -0.596122 10.282531
 0.665191E+00    1.347327  5.159387  5.970248 -0.593167 10.301748
 0.673442E+00    1.365463  5.163931  5.965587 -0.590184 10.321031
 0.681693E+00    1.383695  5.168498  5.960875 -0.587172 10.340369
 0.689944E+00    1.402018  5.173089  5.956113 -0.584133 10.359758
 0.698194E+00    1.420428  5.177701  5.951302 -0.581067 10.379189
 0.706444E+00    1.438921  5.182334  5.946442 -0.577974 10.398659
 0.714695E+00    1.457497  5.186987  5.941532 -0.574854 10.418167
 0.722945E+00    1.476146  5.191659  5.936573 -0.571709 10.437700
 0.731195E+00    1.494868  5.196349  5.931566 -0.568537 10.457257
 0.739446E+00    1.513660  5.201056  5.926509 -0.565339 10.476835
 0.747696E+00    1.532514  5.205778  5.921405 -0.562116 10.496423
 0.755947E+00    1.551431  5.210516  5.916252 -0.558868 10.516022
 0.764196E+00    1.570401  5.215266  5.911053 -0.555596 10.535618
 0.772447E+00    1.589427  5.220029  5.905805 -0.552299 10.555216
