       q, A-1          I(q)     sigmaI(q)
 0.273325E-01  0.100787E+02  0.139170E+00
 0.299107E-01  0.970182E+01  0.460694E-01
 0.381612E-01  0.846494E+01  0.405759E-01
 0.464115E-01  0.717269E+01  0.354865E-01
 0.546620E-01  0.586747E+01  0.301269E-01
 0.629124E-01  0.459301E+01  0.240982E-01
 0.711628E-01  0.344412E+01  0.194096E-01
 0.794133E-01  0.250779E+01  0.155611E-01
 0.876636E-01  0.178893E+01  0.126586E-01
 0.959140E-01  0.125126E+01  0.105419E-01
 0.104164E+00  0.833010E+00  0.872564E-02
 0.112415E+00  0.561568E+00  0.772668E-02
 0.120665E+00  0.392502E+00  0.708096E-02
 0.128916E+00  0.282089E+00  0.663551E-02
 0.137166E+00  0.220877E+00  0.642013E-02
 0.145417E+00  0.175705E+00  0.625193E-02
 0.153667E+00  0.145087E+00  0.619387E-02
 0.161917E+00  0.116047E+00  0.605896E-02
 0.170167E+00  0.999153E-01  0.596972E-02
 0.178418E+00  0.998654E-01  0.596867E-02
 0.186669E+00  0.816922E-01  0.580488E-02
 0.194919E+00  0.634321E-01  0.584913E-02
 0.203170E+00  0.544760E-01  0.581998E-02
 0.211419E+00  0.488689E-01  0.578740E-02
 0.219670E+00  0.445340E-01  0.581632E-02
 0.227920E+00  0.364199E-01  0.582983E-02
 0.236171E+00  0.410948E-01  0.589668E-02
 0.244422E+00  0.419973E-01  0.584283E-02
 0.252672E+00  0.379647E-01  0.595169E-02
 0.260923E+00  0.287252E-01  0.585737E-02
 0.269172E+00  0.356242E-01  0.593687E-02
 0.277423E+00  0.334741E-01  0.586504E-02
 0.285674E+00  0.300129E-01  0.588315E-02
 0.293924E+00  0.357341E-01  0.589912E-02
 0.302174E+00  0.364467E-01  0.601889E-02
 0.310424E+00  0.350450E-01  0.586685E-02
 0.318675E+00  0.271883E-01  0.598641E-02
 0.326925E+00  0.240077E-01  0.603063E-02
 0.335176E+00  0.329195E-01  0.606911E-02
 0.343426E+00  0.379464E-01  0.599777E-02
 0.351677E+00  0.220550E-01  0.610466E-02
 0.359927E+00  0.218849E-01  0.595177E-02
 0.368177E+00  0.243551E-01  0.594124E-02
 0.376428E+00  0.230624E-01  0.591305E-02
 0.384678E+00  0.227991E-01  0.581407E-02
 0.392929E+00  0.286843E-01  0.583256E-02
 0.401179E+00  0.263862E-01  0.580259E-02
 0.409430E+00  0.256986E-01  0.573429E-02
 0.417680E+00  0.223140E-01  0.568464E-02
 0.425930E+00  0.239148E-01  0.575193E-02
 0.434181E+00  0.167113E-01  0.569076E-02
 0.442431E+00  0.183499E-01  0.557590E-02
 0.450681E+00  0.179330E-01  0.560906E-02
 0.458932E+00  0.262006E-01  0.565635E-02
 0.467183E+00  0.220678E-01  0.568682E-02
 0.475432E+00  0.188398E-01  0.569966E-02
 0.483683E+00  0.283662E-01  0.560607E-02
 0.491934E+00  0.242544E-01  0.561912E-02
 0.500184E+00  0.263461E-01  0.553152E-02
 0.508434E+00  0.338109E-01  0.557489E-02
 0.516684E+00  0.317101E-01  0.559610E-02
 0.524935E+00  0.302849E-01  0.557104E-02
 0.533185E+00  0.299474E-01  0.551768E-02
 0.541435E+00  0.231005E-01  0.555048E-02
 0.549686E+00  0.227730E-01  0.554438E-02
 0.557937E+00  0.292292E-01  0.556256E-02
 0.566188E+00  0.273179E-01  0.552033E-02
 0.574437E+00  0.281837E-01  0.549644E-02
 0.582688E+00  0.333695E-01  0.550238E-02
 0.590938E+00  0.314610E-01  0.546488E-02
 0.599189E+00  0.218501E-01  0.550172E-02
 0.607439E+00  0.339834E-01  0.543221E-02
 0.615690E+00  0.337939E-01  0.549422E-02
 0.623940E+00  0.309470E-01  0.551608E-02
 0.632190E+00  0.320993E-01  0.555269E-02
 0.640441E+00  0.252290E-01  0.547340E-02
 0.648691E+00  0.249333E-01  0.543533E-02
 0.656942E+00  0.297613E-01  0.549689E-02
 0.665191E+00  0.253917E-01  0.545742E-02
 0.673442E+00  0.285035E-01  0.540846E-02
 0.681693E+00  0.189650E-01  0.542346E-02
 0.689944E+00  0.277796E-01  0.541281E-02
 0.698194E+00  0.243169E-01  0.539158E-02
 0.706444E+00  0.214695E-01  0.538061E-02
 0.714695E+00  0.143120E-01  0.537734E-02
 0.722945E+00  0.219772E-01  0.536304E-02
 0.731195E+00  0.269021E-01  0.538854E-02
 0.739446E+00  0.168550E-01  0.534536E-02
 0.747696E+00  0.157419E-01  0.533482E-02
 0.755947E+00  0.181147E-01  0.536614E-02
 0.764196E+00  0.105017E-01  0.533539E-02
 0.772447E+00  0.106601E-01  0.533954E-02                                                                                                                                                                            
