                      ALA       ARG       ASP       ASN       CYS       GLU       GLN       GLY       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL
 0.000000E+00    9.036640 23.288580 20.165040 19.937600 19.123400 19.232880 19.005440  9.968800 20.726640  6.240160  6.240160 10.962700 16.538880  9.205280  8.612720 13.986620 13.054460 15.664500 14.155260  7.172320
 0.221607E-01    9.039923 23.274838 20.160720 19.933702 19.121638 19.227214 18.998760  9.969521 20.722589  6.257065  6.257465 10.962535 16.539983  9.218671  8.620204 13.987094 13.057484 15.670558 14.152932  7.183181
 0.253197E-01    9.040925 23.270644 20.159401 19.932511 19.121099 19.225484 18.996721  9.969741 20.721351  6.262214  6.262735 10.962484 16.540318  9.222749  8.622487 13.987238 13.058406 15.672402 14.152222  7.186492
 0.323399E-01    9.043627 23.259334 20.155842 19.929298 19.119646 19.220816 18.991219  9.970334 20.718011  6.276078  6.276922 10.962349 16.541218  9.233731  8.628642 13.987627 13.060892 15.677368 14.150307  7.195415
 0.393601E-01    9.046982 23.245287 20.151416 19.925303 19.117837 19.215014 18.984381  9.971071 20.713857  6.293254  6.294492 10.962181 16.542329  9.247335  8.636283 13.988108 13.063978 15.683517 14.147930  7.206484
 0.463803E-01    9.050989 23.228512 20.146124 19.920526 19.115673 19.208080 18.976209  9.971952 20.708888  6.313699  6.315399 10.961982 16.543646  9.263527  8.645402 13.988681 13.067660 15.690834 14.145094  7.219680
 0.534005E-01    9.055643 23.209022 20.139967 19.914966 19.113153 19.200015 18.966706  9.972974 20.703104  6.337365  6.339589 10.961752 16.545163  9.282269  8.655990 13.989343 13.071934 15.699298 14.141802  7.234984
 0.604207E-01    9.060942 23.186833 20.132946 19.908625 19.110277 19.190823 18.955876  9.974139 20.696503  6.364197  6.367000 10.961491 16.546871  9.303514  8.668034 13.990094 13.076794 15.708886 14.138058  7.252370
 0.674408E-01    9.066881 23.161961 20.125061 19.901502 19.107042 19.180505 18.943721  9.975444 20.689086  6.394131  6.397564 10.961201 16.548764  9.327211  8.681523 13.990931 13.082235 15.719574 14.133866  7.271812
 0.744610E-01    9.073455 23.134425 20.116312 19.893597 19.103448 19.169065 18.930246  9.976889 20.680851  6.427100  6.431206 10.960883 16.550831  9.353305  8.696442 13.991852 13.088251 15.731332 14.129231  7.293280
 0.814812E-01    9.080660 23.104246 20.106701 19.884911 19.099495 19.156507 18.915457  9.978474 20.671797  6.463030  6.467844 10.960538 16.553063  9.381733  8.712776 13.992854 13.094833 15.744130 14.124159  7.316741
 0.885014E-01    9.088489 23.071447 20.096228 19.875443 19.095180 19.142833 18.899357  9.980196 20.661924  6.501842  6.507391 10.960168 16.555448  9.412429  8.730507 13.993935 13.101975 15.757932 14.118655  7.342160
 0.955216E-01    9.096936 23.036053 20.084895 19.865195 19.090503 19.128047 18.881953  9.982054 20.651229  6.543452  6.549755 10.959773 16.557974  9.445323  8.749617 13.995092 13.109668 15.772704 14.112726  7.369498
 0.102542E+00    9.105996 22.998090 20.072703 19.854166 19.085462 19.112155 18.863250  9.984048 20.639712  6.587774  6.594842 10.959356 16.560630  9.480339  8.770087 13.996322 13.117902 15.788405 14.106380  7.398716
 0.109562E+00    9.115660 22.957592 20.059653 19.842356 19.080056 19.095162 18.843257  9.986176 20.627373  6.634714  6.642548 10.958919 16.563401  9.517397  8.791895 13.997621 13.126668 15.804992 14.099623  7.429769
 0.116582E+00    9.125921 22.914588 20.045746 19.829768 19.074283 19.077073 18.821979  9.988435 20.614209  6.684179  6.692772 10.958464 16.566273  9.556415  8.815019 13.998985 13.135956 15.822424 14.092466  7.462615
 0.123602E+00    9.136772 22.869111 20.030985 19.816399 19.068141 19.057892 18.799425  9.990826 20.600219  6.736073  6.745408 10.957993 16.569232  9.597310  8.839436 14.000412 13.145754 15.840654 14.084915  7.497205
 0.130622E+00    9.148204 22.821199 20.015369 19.802252 19.061629 19.037626 18.775602  9.993345 20.585403  6.790298  6.800350 10.957510 16.572261  9.639992  8.865123 14.001896 13.156051 15.859634 14.076982  7.533493
 0.137643E+00    9.160209 22.770880 19.998900 19.787323 19.054744 19.016279 18.750516  9.995991 20.569757  6.846762  6.857495 10.957016 16.575344  9.684378  8.892057 14.003434 13.166836 15.879317 14.068674  7.571434
 0.144663E+00    9.172776 22.718211 19.981582 19.771620 19.047485 18.993862 18.724183  9.998762 20.553283  6.905347  6.916718 10.956517 16.578464  9.730362  8.920204 14.005021 13.178093 15.899647 14.060004  7.610966
 0.151683E+00    9.185897 22.663225 19.963416 19.755138 19.039850 18.970380 18.696609 10.001657 20.535979  6.965959  6.977916 10.956014 16.581604  9.777857  8.949542 14.006652 13.189811 15.920573 14.050984  7.652042
 0.158703E+00    9.199561 22.605969 19.944404 19.737881 19.031838 18.945841 18.667805 10.004672 20.517844  7.028497  7.040977 10.955512 16.584745  9.826768  8.980041 14.008323 13.201976 15.942040 14.041624  7.694609
 0.165723E+00    9.213757 22.546489 19.924548 19.719847 19.023445 18.920252 18.637781 10.007806 20.498877  7.092858  7.105791 10.955015 16.587870  9.876997  9.011673 14.010028 13.214573 15.963994 14.031938  7.738612
 0.172744E+00    9.228479 22.484825 19.903847 19.701036 19.014668 18.893617 18.606545 10.011057 20.479073  7.158949  7.172256 10.954528 16.590960  9.928456  9.044413 14.011762 13.227590 15.986381 14.021936  7.784002
 0.179764E+00    9.243710 22.421045 19.882310 19.681454 19.005508 18.865955 18.574118 10.014422 20.458438  7.226650  7.240245 10.954056 16.593995  9.981032  9.078222 14.013520 13.241008 16.009136 14.011636  7.830712
 0.186784E+00    9.259440 22.355196 19.859936 19.661099 18.995962 18.837268 18.540507 10.017899 20.436969  7.295870  7.309658 10.953605 16.596956 10.034634  9.113072 14.015296 13.254811 16.032204 14.001051  7.878691
 0.193453E+00    9.274837 22.290771 19.837908 19.641047 18.986532 18.809077 18.507493 10.021302 20.415799  7.362946  7.376821 10.953199 16.599681 10.086418  9.147115 14.016994 13.268268 16.054356 13.990743  7.925394
