            q          I(q)     sigmaI(q) 
 0.221607E-01  0.127523E+05  0.198743E+03
 0.253197E-01  0.116471E+05  0.563381E+02
 0.323399E-01  0.938023E+04  0.472640E+02
 0.393601E-01  0.729203E+04  0.413238E+02
 0.463803E-01  0.537676E+04  0.365422E+02
 0.534005E-01  0.394607E+04  0.335079E+02
 0.604207E-01  0.293242E+04  0.312890E+02
 0.674408E-01  0.220291E+04  0.290768E+02
 0.744610E-01  0.173162E+04  0.278190E+02
 0.814812E-01  0.119756E+04  0.267727E+02
 0.885014E-01  0.928566E+03  0.256779E+02
 0.955216E-01  0.684055E+03  0.254387E+02
 0.102542E+00  0.493384E+03  0.246337E+02
 0.109562E+00  0.316243E+03  0.241675E+02
 0.116582E+00  0.290486E+03  0.242054E+02
 0.123602E+00  0.138897E+03  0.239402E+02
 0.130622E+00  0.148072E+03  0.238354E+02
 0.137643E+00  0.138373E+03  0.237421E+02
 0.144663E+00  0.105623E+03  0.236742E+02
 0.151683E+00  0.983006E+02  0.236900E+02
 0.158703E+00  0.841538E+02  0.237628E+02
 0.165723E+00  0.337992E+02  0.233722E+02
 0.172744E+00  0.380453E+02  0.236301E+02
 0.179764E+00  0.678202E+02  0.237113E+02
 0.186784E+00  0.440813E+02  0.238787E+02
 0.193453E+00  0.274832E+02  0.252747E+02
